paper_id,model_name,paper_title,authors,publication_year,venue,model_family,input_type,graph_type,expert_or_learned_graph,datasets_used,swat_evaluated,official_paper_url,official_source_code_url,repository_license,latest_repository_activity,python_pytorch_requirements,expected_implementation_difficulty,compatibility,recommendation,recommendation_reason,uncertainties
timesnet_2023,TimesNet,TimesNet: Temporal 2D-Variation Modeling for General Time Series Analysis,Haixu Wu; Tengge Hu; Yong Liu; Hang Zhou; Jianmin Wang; Mingsheng Long,2023,ICLR,foundation_forecasting_reconstruction,temporal,none,not applicable,general time-series tasks incl. anomaly detection benchmarks,not verified,https://openreview.net/forum?id=ju_Uqw384Oq,https://github.com/thuml/Time-Series-Library,MIT (TSLib; not independently verified),active library; exact activity not verified,Python/PyTorch,medium,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,General TS backbone worth appendix comparison,anomaly-specific reproducibility needs verification
usad_2020,USAD,USAD: UnSupervised Anomaly Detection on Multivariate Time Series,Julien Audibert; Pietro Michiardi; Frédéric Guyard; Sébastien Marti; Maria A. Zuluaga,2020,KDD workshop?,adversarial_autoencoder,temporal,none,not applicable,SWaT; WADI; SMD?,yes,https://dl.acm.org/doi/10.1145/3394486.3403392,,not verified,not verified,Python/PyTorch,low,Ford=high; SWaT=high; PaySim=low; Arrhythmia=low,main_benchmark,Foundational reconstruction baseline; simple enough to reproduce internally later,official code not recorded
omnianomaly_2019,OmniAnomaly,Robust Anomaly Detection for Multivariate Time Series through Stochastic Recurrent Neural Network,Ya Su; Youjian Zhao; Chenhao Niu; Rong Liu; Wei Sun; Dan Pei,2019,KDD,vae_rnn_reconstruction,temporal,none,not applicable,SMD; SMAP; MSL,not verified,https://dl.acm.org/doi/10.1145/3292500.3330672,https://github.com/NetManAIOps/OmniAnomaly,not verified,not verified,Python/TensorFlow likely,medium,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Foundational stochastic recurrent baseline,older stack likely friction
mscred_2019,MSCRED,A Deep Neural Network for Unsupervised Anomaly Detection and Diagnosis in Multivariate Time Series Data,Chao Zhang; Dongjin Song; Yuncong Chen; Xinyang Feng; Cristian Lumezanu; Wei Cheng; Jingchao Ni; Bo Zong; Haifeng Chen; Nitesh V. Chawla,2019,AAAI,reconstruction_signature_matrix,temporal,correlation matrices,learned implicit,synthetic power plant; SMD?,not verified,https://ojs.aaai.org/index.php/AAAI/article/view/3942,,not verified,not verified,Python/deep learning; exact not verified,medium,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Foundational reconstruction/correlation method,official code not recorded
interfusion_2021,InterFusion,InterFusion: Unsupervised Anomaly Detection for Multivariate Time Series,Zhihan Li; et al.,2021,WSDM,hierarchical_vae,temporal,none,not applicable,SMD; SMAP; MSL; SWaT?,not verified,https://dl.acm.org/doi/10.1145/3437963.3441813,,not verified,not verified,Python/PyTorch likely,high,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,literature_only,Strong but integration complexity and code status uncertain,authors/code need verification
thoc_2020,THOC,Time-Series Anomaly Detection Service at Microsoft,Lifeng Shen; Zhuocong Li; James Kwok,2020,KDD,one_class_hierarchical,temporal,none,not applicable,service/benchmark datasets,not verified,https://dl.acm.org/doi/10.1145/3394486.3403330,,not verified,not verified,not verified,medium,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,literature_only,Foundational hierarchical one-class reference,not 2022+ and code unclear
dvgcrn_2022,DVGCRN,Deep Variational Graph Convolutional Recurrent Network for Multivariate Time Series Anomaly Detection,not verified,2022,ICML,graph_vae_recurrent,temporal,graph convolution,learned,MTS benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,high,Ford=medium; SWaT=unknown; PaySim=low; Arrhythmia=low,literature_only,Relevant graph/VAE method but details need verification,metadata incomplete
fusagnet_2022,FuSAGNet,Learning Sparse Latent Graph Representations for Anomaly Detection in Multivariate Time Series,not verified,2022,KDD,sparse_latent_graph,temporal,sparse latent graph,learned,MTS benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,high,Ford=medium; SWaT=unknown; PaySim=low; Arrhythmia=low,literature_only,Relevant learned graph model,metadata/code need verification
gta_2021,GTA,Learning Graph Structures with Transformer for Multivariate Time Series Anomaly Detection in IoT,not verified,2021,IEEE Internet of Things Journal,graph_transformer,temporal,learned graph structures,learned,IoT/MTS datasets; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,high,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Combines learned graphs and transformers for IoT,metadata/code need verification
dyedgegat_2024,DyEdgeGAT,Dynamic Edge via Graph Attention for Early Fault Detection in IIoT Systems,not verified,2024,IEEE Internet of Things Journal,graph_attention_fault_detection,temporal,dynamic graph attention,learned,IIoT fault datasets; exact list pending,not verified,,https://github.com/FrancescoSaverioZuppichini/DyEdgeGAT,not verified,not verified,Python/PyTorch likely,medium,Ford=high; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Domain-aligned IIoT graph attention method,paper/code details need verification
acgsl_2024,ACGSL,Asymptotic Consistent Graph Structure Learning for Multivariate Time-Series Anomaly Detection,not verified,2024,IEEE Transactions on Instrumentation and Measurement,graph_structure_learning,temporal,consistent learned graph,learned,MTS benchmarks; exact list pending,not verified,,https://github.com/Frank-Wang-oss/ACGSL-for-MTS,not verified,not verified,Python/PyTorch likely,high,Ford=medium; SWaT=unknown; PaySim=low; Arrhythmia=low,literature_only,Recent graph-structure learning method,metadata unverified
mpformer_2024,MPFormer,MPFormer: Multi-Patch Transformer for Multivariate Time Series Anomaly Detection with Contrastive Learning,not verified,2024,IEEE Internet of Things Journal,transformer_contrastive,temporal,attention implicit,learned implicit,MTS/IoT benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=high; SWaT=unknown; PaySim=low; Arrhythmia=low,appendix,Recent transformer/patching candidate,code not verified
siet_2024,SIET,SIET: Spatial Information Enhanced Transformer for Multivariate Time Series Anomaly Detection,not verified,2024,Knowledge-Based Systems,spatial_transformer,temporal,spatial dependencies,learned implicit,MTS benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=high; SWaT=unknown; PaySim=low; Arrhythmia=low,literature_only,Relevant spatial transformer,code/details need verification
normfaae_2024,NormFAAE,A Filter-Augmented Auto-Encoder with Learnable Normalization for Robust Multivariate Time Series Anomaly Detection,not verified,2024,Neural Networks,autoencoder_reconstruction,temporal,none,not applicable,MTS benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=high; SWaT=unknown; PaySim=low; Arrhythmia=low,appendix,Recent robust reconstruction candidate,code not verified
svdae_2024,SVD-AE,An Asymmetric Autoencoder with SVD Regularization for Multivariate Time Series Anomaly Detection,not verified,2024,Neural Networks,autoencoder_reconstruction,temporal,none,not applicable,MTS benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=high; SWaT=unknown; PaySim=low; Arrhythmia=low,literature_only,Recent reconstruction method,metadata/code need verification
tadnet_2024,TADNet,Unravel Anomalies: An End-to-end Seasonal-Trend Decomposition Approach for Time Series Anomaly Detection,not verified,2024,ICASSP,decomposition_reconstruction,temporal,none,not applicable,time-series anomaly benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=medium; SWaT=unknown; PaySim=low; Arrhythmia=low,appendix,Seasonal-trend decomposition representative,metadata/code need verification
d3r_2023,D3R,Drift Does Not Matter: Dynamic Decomposition with Diffusion Reconstruction for Unstable Multivariate Time Series Anomaly Detection,not verified,2023,NeurIPS,diffusion_decomposition,temporal,none,not applicable,unstable MTS benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,high,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Representative diffusion method for drift/nonstationarity,official code/source need verification
madsgm_2023,MadSGM,MadSGM: Multivariate Anomaly Detection with Score-based Generative Models,not verified,2023,not verified,score_based_diffusion,temporal,none,not applicable,MTS benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,high,Ford=medium; SWaT=unknown; PaySim=low; Arrhythmia=low,literature_only,Score-based generative anomaly detection candidate,metadata/code need verification
pad_2023,PAD,Precursor-of-Anomaly Detection for Irregular Time Series,not verified,2023,KDD,early_detection_irregular,temporal,none,not applicable,irregular time-series benchmarks,not verified,,,not verified,not verified,Python/PyTorch likely,high,Ford=low; SWaT=low; PaySim=low; Arrhythmia=low,literature_only,Irregular/precursor focus less aligned with Ford/SWaT benchmark,metadata/code need verification
npsr_2023,NPSR,Nominality Score Conditioned Time Series Anomaly Detection by Point Sequential Reconstruction,not verified,2023,NeurIPS,conditioned_reconstruction,temporal,none,not applicable,time-series anomaly benchmarks,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Recent reconstruction criterion,metadata/code need verification
timecad_2023,Time-CAD,Context-Aware Deep Time-Series Decomposition for Anomaly Detection in Businesses,not verified,2023,ECML-PKDD,decomposition_context_aware,temporal,none,not applicable,business time-series; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=low; SWaT=low; PaySim=medium; Arrhythmia=low,literature_only,Business context focus less aligned to industrial sensors,metadata/code need verification
omnitransfer_2023,OmniTransfer,Efficient Multivariate Time Series Anomaly Detection Through Transfer Learning for Large-Scale Web Services,not verified,2023,ICWS,transfer_learning,temporal,none,not applicable,web-service MTS,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=low; SWaT=low; PaySim=low; Arrhythmia=low,literature_only,Domain transfer candidate but less aligned to Ford,metadata/code need verification
cst_gl_2023,CST-GL,Correlation-aware Spatial-Temporal Graph Learning for Multivariate Time-series Anomaly Detection,not verified,2023,TNNLS,spatiotemporal_graph,temporal,correlation-aware graph,learned,MTS benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,high,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Relevant correlation-aware graph method,metadata/code need verification
stgat_mad_2023,STGAT-MAD,Spatial-Temporal Graph Attention Network for Multivariate Time Series Anomaly Detection,not verified,2023,ICASSP,spatiotemporal_graph_attention,temporal,spatial-temporal graph attention,learned,MTS benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Graph-attention variant for coverage,metadata/code need verification
mutant_2023,MUTANT,Robust Anomaly Detection for Multivariate Time Series through Temporal GCNs and Attention-based VAE,not verified,2023,Knowledge-Based Systems,temporal_gcn_vae,temporal,temporal GCN,learned,MTS benchmarks; exact list pending,not verified,,,not verified,not verified,Python/PyTorch likely,high,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Combines graph convolution and VAE,metadata/code need verification
cat_2022,CAT,Beyond Efficient Transformer for Content-Aware Anomaly Detection in Event Sequences,not verified,2022,KDD,transformer_event_sequence,temporal_event,attention implicit,learned implicit,event sequences,not applicable,,,not verified,not verified,Python/PyTorch likely,medium,Ford=low; SWaT=low; PaySim=medium; Arrhythmia=low,literature_only,Event-sequence focus not primary MTS sensor benchmark,metadata/code need verification
tarnet_2022,TARNet,TARNet: Task-Aware Reconstruction for Time-Series Transformer,not verified,2022,KDD,transformer_reconstruction,temporal,attention implicit,learned implicit,time-series benchmarks,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Transformer reconstruction candidate,metadata/code need verification
ncad_2022,NCAD,Neural Contextual Anomaly Detection for Time Series,not verified,2022,IJCAI,contextual_contrastive,temporal,none,not applicable,time-series anomaly benchmarks,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Contextual method useful for robust comparison,metadata/code need verification
arcus_2022,ARCUS,Adaptive Model Pooling for Online Deep Anomaly Detection from a Complex Evolving Data Stream,not verified,2022,KDD,online_ensemble,temporal_stream,none,not applicable,evolving data streams,not verified,,,not verified,not verified,Python/PyTorch likely,medium,Ford=low; SWaT=medium; PaySim=medium; Arrhythmia=low,literature_only,Online streaming setting outside first benchmark scope,metadata/code need verification
tsb_uad_2022,TSB-UAD,TSB-UAD: An End-to-End Benchmark Suite for Univariate Time-Series Anomaly Detection,not verified,2022,PVLDB,benchmark_univariate,univariate,none,not applicable,univariate TS datasets,not applicable,,https://github.com/TheDatumOrg/TSB-UAD,not verified,not verified,Python,low,Ford=low; SWaT=low; PaySim=low; Arrhythmia=low,literature_only,"Benchmark reference, not a multivariate model",metadata need verification
vus_2022,VUS,Volume Under the Surface: A New Accuracy Evaluation Measure for Time-Series Anomaly Detection,not verified,2022,PVLDB,metric,not model,none,not applicable,evaluation,not applicable,,,not verified,not verified,Python likely,low,Ford=metric; SWaT=metric; PaySim=metric; Arrhythmia=metric,literature_only,"Evaluation metric paper, useful for future metric registry",not a model
couta_2024,COUTA,Calibrated One-class Classification for Unsupervised Time Series Anomaly Detection,not verified,2024,TKDE,one_class,temporal,none,not applicable,time-series anomaly benchmarks,not verified,,https://github.com/xuhongzuo/couta,not verified,not verified,Python/PyTorch likely,medium,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,appendix,Recent one-class baseline,metadata/code need verification
deep_iforest_2024,Deep Isolation Forest,Deep Isolation Forest for Anomaly Detection,not verified,2024,TKDE,deep_isolation_forest,tabular_or_temporal,none,not applicable,tabular/time-series OD benchmarks,not verified,,https://github.com/xuhongzuo/DeepOD,not verified,active package; exact activity not verified,Python/PyTorch,low,Ford=medium; SWaT=medium; PaySim=high; Arrhythmia=high,main_benchmark,Good bridge across tabular and temporal datasets through DeepOD,license exact needs verification
tab_2025,TAB,TAB: Unified Benchmarking of Time Series Anomaly Detection Methods,Xiangfei Qiu; Zhe Li; Wanghui Qiu; Shiyan Hu; Lekui Zhou; Xingjian Wu; Zhengyu Li; Chenjuan Guo; Aoying Zhou; Zhenli Sheng; Jilin Hu; Christian S. Jensen; Bin Yang,2025,PVLDB,benchmark,temporal,various,various,time-series anomaly benchmark corpus,not verified,,https://github.com/decisionintelligence/TAB,not verified,not verified,Python/PyTorch,low,Ford=benchmark_reference; SWaT=benchmark_reference; PaySim=low; Arrhythmia=low,literature_only,"Benchmark methodology reference, not a model",not a model
candi_2026,CANDI,CANDI: Curated Test-Time Adaptation for Multivariate Time-Series Anomaly Detection,not verified,2026,arXiv,test_time_adaptation,temporal,none/implicit,learned implicit,MTSAD benchmarks; exact list pending,not verified,https://arxiv.org/html/2604.01845v1,,not verified,not verified,Python/PyTorch likely,high,Ford=medium; SWaT=medium; PaySim=low; Arrhythmia=low,literature_only,Emerging 2026 adaptation method; not mature for initial benchmark,preprint and code unverified
ngls_diff_2025,NGLS-Diff,A Survey on Diffusion Models for Anomaly Detection / NGLS-Diff experiments,not verified,2025,IJCAI submission/arXiv,diffusion_survey_method,temporal,local structures,learned,four real-world datasets; exact list pending,not verified,https://arxiv.org/html/2501.11430v1,https://github.com/fdjingliu/DMAD,not verified,not verified,Python/PyTorch likely,high,Ford=medium; SWaT=unknown; PaySim=low; Arrhythmia=low,literature_only,"Useful diffusion survey and possible method, but publication/code status uncertain",submitted status uncertain
